Message;Termino;@version;@timestamp;user;command;Channel;Nick;server;host;contador
he's sorta happy;;1;2016-06-24T20:20:37.339Z;missingRemote!missingRem@HTS-BCEC99B7.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;missingRemote;irc.hackthissite.org:6667;HTS-BCEC99B7.us-west-2.compute.amazonaws.com;1
but he's in pain and doesn't want to go on walks;;1;2016-06-24T20:20:58.557Z;missingRemote!missingRem@HTS-BCEC99B7.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;missingRemote;irc.hackthissite.org:6667;HTS-BCEC99B7.us-west-2.compute.amazonaws.com;1
what sort of dog?;;1;2016-06-24T20:26:56.762Z;c05503!user@HTS-DE936F11.w90-5.abo.wanadoo.fr;PRIVMSG;#coffeesh0p;c05503;irc.hackthissite.org:6667;HTS-DE936F11.w90-5.abo.wanadoo.fr;1
also pics;;1;2016-06-24T20:27:00.669Z;c05503!user@HTS-DE936F11.w90-5.abo.wanadoo.fr;PRIVMSG;#coffeesh0p;c05503;irc.hackthissite.org:6667;HTS-DE936F11.w90-5.abo.wanadoo.fr;1
c05503: https://snag.gy/xasghO.jpg;;1;2016-06-24T20:28:46.184Z;missingRemote!missingRem@HTS-BCEC99B7.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;missingRemote;irc.hackthissite.org:6667;HTS-BCEC99B7.us-west-2.compute.amazonaws.com;1
awesome;;1;2016-06-24T20:29:35.895Z;c05503!user@HTS-DE936F11.w90-5.abo.wanadoo.fr;PRIVMSG;#coffeesh0p;c05503;irc.hackthissite.org:6667;HTS-DE936F11.w90-5.abo.wanadoo.fr;1
how old?;;1;2016-06-24T20:29:38.034Z;c05503!user@HTS-DE936F11.w90-5.abo.wanadoo.fr;PRIVMSG;#coffeesh0p;c05503;irc.hackthissite.org:6667;HTS-DE936F11.w90-5.abo.wanadoo.fr;1
:D;;1;2016-06-24T20:31:20.586Z;SailorVenus!Tabes@HTS-D177300C.dsl.bell.ca;PRIVMSG;#coffeesh0p;SailorVenus;irc.hackthissite.org:6667;HTS-D177300C.dsl.bell.ca;1
sup;;1;2016-06-24T20:31:24.863Z;SailorVenus!Tabes@HTS-D177300C.dsl.bell.ca;PRIVMSG;#coffeesh0p;SailorVenus;irc.hackthissite.org:6667;HTS-D177300C.dsl.bell.ca;1
it's been given to me by the honorable sega mega;;1;2016-06-24T20:33:01.569Z;SailorVenus!Tabes@HTS-D177300C.dsl.bell.ca;PRIVMSG;#coffeesh0p;SailorVenus;irc.hackthissite.org:6667;HTS-D177300C.dsl.bell.ca;1
c05503: 6;;1;2016-06-24T20:35:59.021Z;missingRemote!missingRem@HTS-BCEC99B7.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;missingRemote;irc.hackthissite.org:6667;HTS-BCEC99B7.us-west-2.compute.amazonaws.com;1
hi sub;;1;2016-06-24T20:36:31.635Z;missingRemote!missingRem@HTS-BCEC99B7.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;missingRemote;irc.hackthissite.org:6667;HTS-BCEC99B7.us-west-2.compute.amazonaws.com;1
hey;;1;2016-06-24T20:36:40.152Z;SailorV!Tabes@HTS-D177300C.dsl.bell.ca;PRIVMSG;#coffeesh0p;SailorV;irc.hackthissite.org:6667;HTS-D177300C.dsl.bell.ca;1
=];;1;2016-06-24T20:36:46.838Z;SailorV!Tabes@HTS-D177300C.dsl.bell.ca;PRIVMSG;#coffeesh0p;SailorV;irc.hackthissite.org:6667;HTS-D177300C.dsl.bell.ca;1
soo I'm guessing you never watched the series as a kid?;;1;2016-06-24T20:48:36.941Z;SailorV!Tabes@HTS-D177300C.dsl.bell.ca;PRIVMSG;#coffeesh0p;SailorV;irc.hackthissite.org:6667;HTS-D177300C.dsl.bell.ca;1
how to bot;;1;2016-06-24T20:52:08.514Z;punk!m@globaloper.blackcatz.org;PRIVMSG;#howtohack;punk;irc.zempirians.com:6697;globaloper.blackcatz.org;1
SailorV: wasn't talking about ur nick and no;;1;2016-06-24T20:54:34.991Z;missingRemote!missingRem@HTS-BCEC99B7.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;missingRemote;irc.hackthissite.org:6667;HTS-BCEC99B7.us-west-2.compute.amazonaws.com;1
aw oki;;1;2016-06-24T20:54:43.651Z;SailorV!Tabes@HTS-D177300C.dsl.bell.ca;PRIVMSG;#coffeesh0p;SailorV;irc.hackthissite.org:6667;HTS-D177300C.dsl.bell.ca;1
punk: do you invest by yourself;;1;2016-06-24T20:59:49.146Z;mr_pants!mr_pants@blackcatz-vam.2bl.lpcodk.IP;PRIVMSG;#howtohack;mr_pants;irc.zempirians.com:6697;blackcatz-vam.2bl.lpcodk.IP;1
on the stock market;;1;2016-06-24T20:59:57.212Z;mr_pants!mr_pants@blackcatz-vam.2bl.lpcodk.IP;PRIVMSG;#howtohack;mr_pants;irc.zempirians.com:6697;blackcatz-vam.2bl.lpcodk.IP;1
afk;;1;2016-06-24T21:04:02.836Z;punk!m@globaloper.blackcatz.org;PRIVMSG;#howtohack;punk;irc.zempirians.com:6697;globaloper.blackcatz.org;1
o/;;1;2016-06-24T21:31:10.512Z;punk!m@globaloper.blackcatz.org;PRIVMSG;#howtohack;punk;irc.zempirians.com:6697;globaloper.blackcatz.org;1
what are you doing;;1;2016-06-24T21:40:54.732Z;mr_pants!mr_pants@blackcatz-vam.2bl.lpcodk.IP;PRIVMSG;#howtohack;mr_pants;irc.zempirians.com:6697;blackcatz-vam.2bl.lpcodk.IP;1
what a dick;;1;2016-06-24T21:42:34.388Z;case!case@HTS-CDB3F670.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;case;irc.hackthissite.org:6667;HTS-CDB3F670.us-west-2.compute.amazonaws.com;1
fuck you c05503 ;;1;2016-06-24T21:42:37.377Z;case!case@HTS-CDB3F670.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;case;irc.hackthissite.org:6667;HTS-CDB3F670.us-west-2.compute.amazonaws.com;1
fuck you case;;1;2016-06-24T21:53:11.077Z;c05503!user@HTS-DE936F11.w90-5.abo.wanadoo.fr;PRIVMSG;#coffeesh0p;c05503;irc.hackthissite.org:6667;HTS-DE936F11.w90-5.abo.wanadoo.fr;1
:);;1;2016-06-24T21:53:15.912Z;c05503!user@HTS-DE936F11.w90-5.abo.wanadoo.fr;PRIVMSG;#coffeesh0p;c05503;irc.hackthissite.org:6667;HTS-DE936F11.w90-5.abo.wanadoo.fr;1
Hello;;1;2016-06-24T21:56:36.238Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
such a heartless cretin;;1;2016-06-24T21:56:42.953Z;case!case@HTS-CDB3F670.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;case;irc.hackthissite.org:6667;HTS-CDB3F670.us-west-2.compute.amazonaws.com;1
case my haskell friend;;1;2016-06-24T21:56:48.656Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
hello bio_grin ;;1;2016-06-24T21:59:25.462Z;case!case@HTS-CDB3F670.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;case;irc.hackthissite.org:6667;HTS-CDB3F670.us-west-2.compute.amazonaws.com;1
snorted any cocoa lately?;;1;2016-06-24T21:59:28.993Z;case!case@HTS-CDB3F670.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;case;irc.hackthissite.org:6667;HTS-CDB3F670.us-west-2.compute.amazonaws.com;1
yes;;1;2016-06-24T21:59:32.112Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
yesterday;;1;2016-06-24T21:59:35.068Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
school ended;;1;2016-06-24T21:59:36.230Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
3 months vacation :);;1;2016-06-24T21:59:40.935Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
anyway i am thinking about the future lol;;1;2016-06-24T21:59:54.504Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
can you get free into unis in usa;;1;2016-06-24T22:00:02.205Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
?;;1;2016-06-24T22:00:02.607Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
they can give you a scollarship?;;1;2016-06-24T22:00:52.831Z;bio_grin!b294182e@HTS-D102ADB7.clients.kiwiirc.com;PRIVMSG;#coffeesh0p;bio_grin;irc.hackthissite.org:6667;HTS-D102ADB7.clients.kiwiirc.com;1
if you get a scholarship sure;;1;2016-06-24T22:01:38.027Z;case!case@HTS-CDB3F670.us-west-2.compute.amazonaws.com;PRIVMSG;#coffeesh0p;case;irc.hackthissite.org:6667;HTS-CDB3F670.us-west-2.compute.amazonaws.com;1
